"TIME","GEO","SEX","FIELD","ISCED97","UNIT","Value","Flag and Footnotes"
"2003","Croatia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","34,834",""
"2003","Croatia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","18,821",""
"2003","Croatia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","16,013",""
"2003","Italy","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Italy","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Italy","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2003","Cyprus","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,255",""
"2003","Cyprus","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,026",""
"2003","Cyprus","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","229",""
"2003","Latvia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","8,922",""
"2003","Latvia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","5,504",""
"2003","Latvia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","3,418",""
"2003","Lithuania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","8,781",""
"2003","Lithuania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","5,309",""
"2003","Lithuania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","3,472",""
"2003","Luxembourg","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2003","Luxembourg","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2003","Luxembourg","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2003","Hungary","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","27,536",""
