"TIME","GEO","SEX","FIELD","ISCED97","UNIT","Value","Flag and Footnotes"
"2005","Estonia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,293",""
"2005","Ireland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","68,374",""
"2005","Ireland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","38,900",""
"2005","Ireland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","29,474",""
"2005","Greece","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","48,853",""
"2005","Greece","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","28,401",""
"2005","Greece","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","20,452",""
"2005","Spain","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","167,577",""
"2005","Spain","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","79,477",""
"2005","Spain","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","88,100",""
"2005","France","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","626,825",""
"2005","France","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","329,771",""
"2005","France","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","297,054",""
"2005","Croatia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","38,144",""
"2005","Croatia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","20,627",""
"2005","Croatia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","17,517",""
"2005","Italy","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2005","Italy","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2005","Italy","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2005","Cyprus","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,215",""
"2005","Cyprus","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","983",""
"2005","Cyprus","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","232",""
"2005","Latvia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","7,427",""
"2005","Latvia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","4,554",""
"2005","Latvia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,873",""
"2005","Lithuania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","6,903",""
"2005","Lithuania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","4,071",""
"2005","Lithuania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,832",""
"2005","Luxembourg","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,495",""
"2005","Luxembourg","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,249",""
"2005","Luxembourg","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,246",""
"2005","Hungary","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","24,486",""
"2005","Hungary","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","15,590",""
"2005","Hungary","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","8,896",""
"2005","Malta","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,509",""
"2005","Malta","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","547",""
"2005","Malta","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","962",""
"2005","Netherlands","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","130,437",""
"2005","Netherlands","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","65,290",""
"2005","Netherlands","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","65,147",""
"2005","Austria","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","68,674",""
"2005","Austria","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","38,616",""
"2005","Austria","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","30,058",""
"2005","Poland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","280,838",""
"2005","Poland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","169,755",""
"2005","Poland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","111,083",""
"2005","Portugal","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2005","Portugal","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2005","Portugal","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2005","Romania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","242,725",""
"2005","Romania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","140,894",""
"2005","Romania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","101,831",""
"2005","Slovenia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","20,863",""
"2005","Slovenia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","10,892",""
"2005","Slovenia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","9,971",""
"2005","Slovakia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","61,760",""
"2005","Slovakia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","33,233",""
"2005","Slovakia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","28,527",""
"2005","Finland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","53,562",""
"2005","Finland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","25,161",""
"2005","Finland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","28,401",""
"2005","Sweden","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","44,654",""
"2005","Sweden","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","24,479",""
"2005","Sweden","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","20,175",""
"2005","United Kingdom","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2005","United Kingdom","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2005","United Kingdom","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2005","Iceland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,224",""
"2005","Iceland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,199",""
"2005","Iceland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,025",""
"2005","Liechtenstein","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","335",""
"2005","Liechtenstein","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","200",""
"2005","Liechtenstein","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","135",""
"2005","Norway","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","23,937",""
"2005","Norway","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","12,577",""
"2005","Norway","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","11,360",""
"2005","Switzerland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","57,631",""
"2005","Switzerland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","33,231",""
"2005","Switzerland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","24,400",""
"2005","Former Yugoslav Republic of Macedonia, the","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","15,446",""
"2005","Former Yugoslav Republic of Macedonia, the","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","9,121",""
"2005","Former Yugoslav Republic of Macedonia, the","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","6,325",""
"2005","Albania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2005","Albania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2005","Albania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2005","Turkey","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","211,323",""
"2005","Turkey","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","124,659",""
"2005","Turkey","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","86,664",""
"2005","United States","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2005","United States","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2005","United States","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2005","Japan","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","329,951",""
"2005","Japan","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","186,103",""
"2005","Japan","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","143,848",""
"2006","European Union (current composition)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,857,720","e"
"2006","European Union (current composition)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,551,666","e"
"2006","European Union (current composition)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,306,054","e"
"2006","European Union (before the accession of Croatia)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,820,830","e"
"2006","European Union (before the accession of Croatia)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,531,736","e"
"2006","European Union (before the accession of Croatia)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,289,094","e"
"2006","Euro area (18 countries)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,097,600","e"
"2006","Euro area (18 countries)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,108,457","e"
"2006","Euro area (18 countries)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","989,143","e"
"2006","Euro area (17 countries)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,089,460","e"
"2006","Euro area (17 countries)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,103,516","e"
"2006","Euro area (17 countries)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","985,944","e"
"2006","Belgium","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","70,528",""
"2006","Belgium","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","34,578",""
"2006","Belgium","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","35,950",""
"2006","French Community in Belgium including small German-speaking Community","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","22,967",""
"2006","French Community in Belgium including small German-speaking Community","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","10,605",""
"2006","French Community in Belgium including small German-speaking Community","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","12,362",""
"2006","Flemish Community in Belgium","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","47,561",""
"2006","Flemish Community in Belgium","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","23,973",""
"2006","Flemish Community in Belgium","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","23,588",""
"2006","Bulgaria","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","35,083",""
"2006","Bulgaria","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","20,554",""
"2006","Bulgaria","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","14,529",""
"2006","Czech Republic","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","93,992",""
"2006","Czech Republic","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","49,921",""
"2006","Czech Republic","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","44,071",""
"2006","Denmark","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","29,810",""
"2006","Denmark","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","13,802",""
"2006","Denmark","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","16,008",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","596,549",""
"2006","Germany (until 1990 former territory of the FRG)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","321,425",""
"2006","Germany (until 1990 former territory of the FRG)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","275,124",""
"2006","Estonia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","3,712",""
"2006","Estonia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,446",""
"2006","Estonia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,266",""
"2006","Ireland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","32,120",""
"2006","Ireland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","11,333",""
"2006","Ireland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","20,787",""
"2006","Greece","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Greece","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Greece","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Spain","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","159,139",""
"2006","Spain","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","75,968",""
"2006","Spain","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","83,171",""
"2006","France","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","510,353",""
"2006","France","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","268,700",""
"2006","France","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","241,653",""
"2006","Croatia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","36,890",""
"2006","Croatia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","19,930",""
"2006","Croatia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","16,960",""
"2006","Italy","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","398,358",""
"2006","Italy","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","224,472",""
"2006","Italy","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","173,886",""
"2006","Cyprus","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,210",""
"2006","Cyprus","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","978",""
"2006","Cyprus","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","232",""
"2006","Latvia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","8,140",""
"2006","Latvia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","4,941",""
"2006","Latvia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","3,199",""
"2006","Lithuania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","6,616",""
"2006","Lithuania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","4,124",""
"2006","Lithuania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,492",""
"2006","Luxembourg","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,354",""
"2006","Luxembourg","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,266",""
"2006","Luxembourg","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,088",""
"2006","Hungary","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","23,983",""
"2006","Hungary","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","14,745",""
"2006","Hungary","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","9,238",""
"2006","Malta","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,145",""
"2006","Malta","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","629",""
"2006","Malta","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","516",""
"2006","Netherlands","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","129,335",""
"2006","Netherlands","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","64,751",""
"2006","Netherlands","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","64,584",""
"2006","Austria","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Austria","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Austria","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Poland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","234,381",""
"2006","Poland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","149,444",""
"2006","Poland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","84,937",""
"2006","Portugal","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Portugal","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Portugal","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Romania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","245,042",""
"2006","Romania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","141,903",""
"2006","Romania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","103,139",""
"2006","Slovenia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","20,253",""
"2006","Slovenia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","10,435",""
"2006","Slovenia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","9,818",""
"2006","Slovakia","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","60,329",""
"2006","Slovakia","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","32,535",""
"2006","Slovakia","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","27,794",""
"2006","Finland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","55,222",""
"2006","Finland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","25,599",""
"2006","Finland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","29,623",""
"2006","Sweden","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","54,323",""
"2006","Sweden","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","28,786",""
"2006","Sweden","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","25,537",""
"2006","United Kingdom","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","United Kingdom","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","United Kingdom","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":",""
"2006","Iceland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,319",""
"2006","Iceland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,244",""
"2006","Iceland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,075",""
"2006","Liechtenstein","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","350",""
"2006","Liechtenstein","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","209",""
"2006","Liechtenstein","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","141",""
"2006","Norway","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","23,373",""
"2006","Norway","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","12,532",""
"2006","Norway","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","10,841",""
"2006","Switzerland","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","62,330",""
"2006","Switzerland","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","32,916",""
"2006","Switzerland","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","29,414",""
"2006","Former Yugoslav Republic of Macedonia, the","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","16,359",""
"2006","Former Yugoslav Republic of Macedonia, the","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","9,688",""
"2006","Former Yugoslav Republic of Macedonia, the","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","6,671",""
"2006","Albania","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","4,820",""
"2006","Albania","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","3,120",""
"2006","Albania","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,700",""
"2006","Turkey","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","235,219",""
"2006","Turkey","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","141,751",""
"2006","Turkey","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","93,468",""
"2006","United States","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2006","United States","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2006","United States","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number",":","z"
"2006","Japan","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","313,640",""
"2006","Japan","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","177,541",""
"2006","Japan","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","136,099",""
"2007","European Union (current composition)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,780,464","e"
"2007","European Union (current composition)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,506,154","e"
"2007","European Union (current composition)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,274,309","e"
"2007","European Union (before the accession of Croatia)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,744,064","e"
"2007","European Union (before the accession of Croatia)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,489,428","e"
"2007","European Union (before the accession of Croatia)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,254,635","e"
"2007","Euro area (18 countries)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,093,262","e"
"2007","Euro area (18 countries)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,112,732","e"
"2007","Euro area (18 countries)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","980,529","e"
"2007","Euro area (17 countries)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","2,085,475","e"
"2007","Euro area (17 countries)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","1,108,118","e"
"2007","Euro area (17 countries)","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","977,356","e"
"2007","Belgium","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","71,039",""
"2007","Belgium","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","35,011",""
"2007","Belgium","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","36,028",""
"2007","French Community in Belgium including small German-speaking Community","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","25,370",""
"2007","French Community in Belgium including small German-speaking Community","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","11,857",""
"2007","French Community in Belgium including small German-speaking Community","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","13,513",""
"2007","Flemish Community in Belgium","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","45,669",""
"2007","Flemish Community in Belgium","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","23,154",""
"2007","Flemish Community in Belgium","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","22,515",""
"2007","Bulgaria","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","33,550",""
"2007","Bulgaria","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","19,610",""
"2007","Bulgaria","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","13,940",""
"2007","Czech Republic","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","88,831",""
"2007","Czech Republic","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","47,067",""
"2007","Czech Republic","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","41,764",""
"2007","Denmark","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","30,317",""
"2007","Denmark","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","14,286",""
"2007","Denmark","Females","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","16,031",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","565,770",""
"2007","Germany (until 1990 former territory of the FRG)","Males","Total","Upper secondary education (level 3) - pre-vocational and vocational programme orientation","Number","312,082",""
